name,|N|,|M|,matrix_size,|M1|,num_explored_hypotheses,per_level_hypotheses,execution_time,per_level_time,memory_occupation,num_solutions,hypotheses_per_second
025.12,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21367.2611,"[0.0458, 14.855, 118.5992, 634.4995, 2996.4936, 17545.5464, 14.9974]",450125,298,5.342893479220882
025.13,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21418.3672,"[0.0191, 13.8542, 118.8952, 646.0532, 2975.1457, 17598.4464, 17.7963]",500514,298,5.330144867438821
025.14,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21153.1898,"[0.0163, 13.9759, 121.0253, 638.1158, 2935.7367, 17385.1697, 16.3663]",489847,298,5.396963818667197
025.15,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",22046.6488,"[0.017, 15.3576, 120.8273, 643.4209, 3062.3859, 18143.2997, 16.9008]",486042,298,5.17824731711606
025.16,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21616.3101,"[0.0175, 14.2721, 120.065, 644.6948, 2989.2149, 17782.0029, 19.5826]",434093,298,5.281336151816216
025.17,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21827.8416,"[0.0155, 15.0773, 124.7233, 671.2258, 3024.5737, 17932.9701, 15.5646]",500226,298,5.230155234404853
025.18,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21256.5577,"[0.0168, 14.0188, 117.4726, 635.072, 2948.0914, 17479.1283, 18.3358]",468158,298,5.370719079317344
025.19,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21206.343,"[0.0164, 14.2164, 118.2536, 636.5912, 2956.2193, 17416.1632, 18.5537]",523334,298,5.383436455781178
025.20,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21220.1253,"[0.0193, 15.5714, 121.4726, 633.4766, 2919.5778, 17473.3241, 15.1668]",512624,298,5.379939957281968
025.21,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21581.2261,"[0.0167, 13.9581, 117.8885, 635.1578, 2982.4568, 17773.5439, 14.8322]",479552,298,5.2899218733452775
025.22,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21234.5159,"[0.0178, 14.2504, 119.1216, 640.8776, 2931.8882, 17468.4647, 16.9843]",461982,298,5.37629397993481
025.23,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21651.3506,"[0.0192, 14.5285, 117.8414, 650.2453, 3102.3167, 17708.3544, 15.1494]",522080,298,5.272788848562638
025.24,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21531.5983,"[0.0184, 13.8901, 118.9728, 673.1918, 3077.0206, 17591.2835, 14.6646]",504250,298,5.302114520685628
025.25,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21626.3474,"[0.016, 13.6358, 119.8554, 639.0282, 3008.2055, 17784.7975, 14.9289]",508962,298,5.278884958631526
025.26,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21095.5447,"[0.0187, 14.7975, 120.4484, 637.4121, 2936.6799, 17322.901, 17.7167]",432030,298,5.41171141222061
025.27,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21286.3204,"[0.0172, 15.1261, 119.8418, 632.3534, 2949.5481, 17513.038, 14.9952]",443529,298,5.36320969781137
025.28,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21974.2908,"[0.017, 14.3964, 119.3708, 644.7624, 3066.6852, 18070.5387, 15.0227]",460039,298,5.195298498552682
025.29,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21532.7429,"[0.015, 14.529, 118.8559, 646.7169, 3000.0179, 17692.26, 14.4609]",462783,298,5.301832680127342
025.30,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21446.1668,"[0.0154, 13.9249, 124.2365, 647.8919, 3012.1937, 17589.4522, 15.8522]",468937,298,5.323235665592231
025.31,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21421.9153,"[0.0174, 15.0824, 122.8779, 638.6509, 2985.9745, 17601.3284, 15.1757]",530914,298,5.3292620384882206
